Operational Profile,DURAÇÃO,EngineLoad,PotenciaMaxima,EnginesRunning,Speed,DraftBow,DraftStern,BEAUFORT,MDO,MDOPred
Eco Transit,0.102777778,0.24,556.8,2,5.788354,4.404883,4.128678,2.5,0.047325,0.460459459
Eco Transit,0.014444444,0.36,835.2,2,8.95246154,4.606,3.98753846,4,0.011366,0.786876923
Transit,0.026388889,0.32,742.4,2,9.15857895,4.228,4.23603158,2.8,0.018339,0.694951579
Eco Transit,0.031111111,0.3,696,2,7.37589286,4.743,4.201,3.4,0.019234,0.618235714
Transit,0.0275,0.29,672.8,2,10.98951515,2.586,4.59574747,5.1,0.016406,0.596581818
Eco Transit,0.1075,0.3,696,2,7.28155039,4.63654264,4.22130233,4.8,0.07118857,0.662219256
Eco Transit,0.009722222,0.34,788.8,2,8.934686,2.603358,4.54098,5.2,0.007373,0.758365714
Transit,0.050555556,0.33,765.6,2,9.13691209,2.53273626,4.24393407,5.5,0.036324,0.718496703
Transit,0.021944444,0.29,672.8,2,9.35944304,4.50420253,3.83846835,5.9,0.01297899,0.591447646
Eco Transit,0.062777778,0.32,742.4,2,8.93296,2.593741,4.230698,4.8,0.042834,0.682311504
Eco Transit,1.986666667,0.32,742.4,2,8.58628691,4.23090101,4.27841191,2.8,1.36948999,0.689340599
Eco Transit,0.429444444,0.23,533.6,2,5.739174,4.64543532,3.8480414,3.5,0.19956301,0.464700411
Fast Transit,0.012777778,0.36,835.2,2,11.027,4.639,3.57,3.3,0.010645,0.833086957
Transit,0.024444444,0.27,626.4,2,9.02588636,4.661,3.919,2.4,0.01255099,0.513449591
Transit,0.085277778,0.35,812,2,9.44701303,2.56329967,3.85460912,4,0.065729,0.770763518
Eco Transit,0.060833333,0.22,510.4,2,4.35042922,4.64681735,4.26545662,2.8,0.025596,0.420756164
Fast Transit,0.9025,0.37,858.4,2,11.15051677,4.60648476,4.44305294,3.1,0.759676,0.84174626
Transit,0.008055556,0.33,765.6,2,9.06,2.525,4.232,5.5,0.005752,0.714041379
Eco Transit,0.019166667,0.34,788.8,2,8.95421739,2.531,4.243,5.5,0.01393299,0.726938609
Eco Transit,0.016388889,0.28,649.6,2,9.01349153,4.45891525,3.83391525,2.9,0.00943367,0.575613763
Eco Transit,0.028333333,0.29,672.8,2,8.75982353,4.521,3.8515,5.9,0.017071,0.602505882
Transit,0.273888889,0.36,835.2,2,9.60092292,4.56795842,4.81700304,3.8,0.212795,0.776939148
Fast Transit,0.019722222,0.31,719.2,2,11.02792958,2.558,3.7903662,5.9,0.012915,0.65484507
Transit,0.079166667,0.32,742.4,2,9.38049474,4.51163158,3.6900807,3.5,0.055811,0.704981053
Transit,0.105277778,0.29,672.8,2,9.23999472,4.68648285,4.0807467,4,0.063745,0.605493404
Eco Transit,0.024444444,0.29,672.8,2,8.95957955,4.663,4.04,4,0.014945,0.611386364
Eco Transit,0.114444444,0.33,765.6,2,8.74700485,4.23274272,4.20600971,2.8,0.080069,0.699632039
Eco Transit,0.030833333,0.35,812,2,8.86306306,4.824,4.64645946,4.1,0.024511,0.794951351
Eco Transit,0.012777778,0.32,742.4,2,8.956348,2.549865,4.439189,5.1,0.009007,0.704895652
Eco Transit,1.070833333,0.22,510.4,2,4.3763035,4.64136654,4.78038288,2.4,0.42119,0.393329183
Transit,0.021388889,0.34,788.8,2,9.20212987,4.45061039,4.15661039,5.4,0.015919,0.744264935
Eco Transit,0.276388889,0.26,603.2,2,6.08718794,4.64795276,3.88849447,5,0.142414,0.515266734
Eco Transit,0.119166667,0.28,649.6,2,8.92522611,4.44729604,3.85945455,2.9,0.068096,0.571434965
Eco Transit,0.246388889,0.34,788.8,2,7.99217475,4.56316685,3.68870462,5.7,0.178583,0.724801353
Transit,0.01,0.34,788.8,2,9.218,4.53191667,4.10591667,3.6,0.007487,0.7487
Eco Transit,0.016111111,0.34,788.8,2,8.96758621,2.535,4.50172414,5.5,0.011863,0.736324138
Eco Transit,0.030555556,0.32,742.4,2,8.8581,2.567824,4.250159,4.8,0.020765,0.679581818
Transit,0.010277778,0.35,812,2,9.090324,2.609077,4.537173,5.2,0.007988,0.777210811
Eco Transit,0.806944444,0.22,510.4,2,6.40254217,4.50073769,3.68538657,2.8,0.315475,0.390950086
Eco Transit,0.412777778,0.23,533.6,2,6.36984791,4.88116487,4.8135397,3.6,0.18496499,0.448098226
Eco Transit,0.0075,0.25,580,2,5.4847037,4.60359259,4.11859259,4.7,0.003499,0.466533333
Eco Transit,0.009444444,0.34,788.8,2,8.845,4.613,3.889,4.3,0.00717599,0.759810706
Eco Transit,0.409722222,0.32,742.4,2,8.7735383,4.27013695,4.25468746,4.9,0.28420401,0.693650465
Eco Transit,0.172777778,0.23,533.6,2,4.45805305,4.52134727,3.80079904,5.9,0.075756,0.438459164
Transit,0.081944444,0.35,812,2,9.39828814,2.56664407,3.84381356,4,0.063323,0.772755254
Transit,0.527777778,0.32,742.4,2,10.42046105,4.57791579,4.07515789,5.1,0.374731,0.710016632
Transit,0.014444444,0.31,719.2,2,9.06734615,2.482,4.769,5.5,0.009713,0.672438462
Transit,5.673888889,0.33,765.6,2,10.58327132,4.46131112,4.07442921,4.3,4.112165,0.724752472
Transit,0.695,0.31,719.2,2,9.152719,2.610363,4.133833,3.4,0.465624,0.66996259
Transit,0.964166667,0.26,603.2,2,9.8025883,2.58599942,3.65951311,5.6,0.510838,0.529823336
Eco Transit,0.016666667,0.2,464,2,4.0645,4.661,4.69383333,3.7,0.005632,0.33792
Fast Transit,0.147222222,0.33,765.6,2,11.02381132,4.42410943,4.80898868,2.4,0.10528701,0.715157049
Transit,4.987777778,0.34,788.8,2,10.1253439,2.53077051,4.47319182,3.2,3.71754601,0.745331123
Eco Transit,0.096666667,0.36,835.2,2,8.40836207,2.56552586,3.87847414,4,0.077698,0.803772414
Fast Transit,0.003333333,0.32,742.4,2,11.177,4.84,4.957,2.5,0.002376,0.7128
Transit,0.013055556,0.34,788.8,2,9.08559574,4.691,3.422,3.3,0.009879,0.756689362
Transit,0.163888889,0.33,765.6,2,9.15971017,2.532,4.24836271,5.5,0.117546,0.717229831
Eco Transit,0.032222222,0.23,533.6,2,4.15627586,4.523,3.80532759,5.9,0.01375999,0.427034172
Eco Transit,0.011666667,0.27,626.4,2,8.965,4.661,3.919,2.4,0.005991,0.513514286
Eco Transit,0.014444444,0.36,835.2,2,8.781,2.559,3.82,4,0.011352,0.785907692
Transit,0.249166667,0.29,672.8,2,9.33096098,4.49076031,3.84358417,5.9,0.146449,0.587755184
Eco Transit,0.028055556,0.32,742.4,2,8.96529703,2.484,4.80624752,5.5,0.019166,0.683144554
Transit,0.012222222,0.33,765.6,2,9.05452273,2.557,4.23647727,5.5,0.008711,0.712718182
Eco Transit,0.008611111,0.37,858.4,2,9.01751613,4.65548387,4.08348387,4,0.006891,0.800245161
Transit,0.922777778,0.35,812,2,10.75783654,4.54287206,3.95915623,3.3,0.737457,0.799170741
Transit,0.096944444,0.35,812,2,9.13920917,4.6296361,4.04212894,4.3,0.072337,0.746169628
Eco Transit,0.047777778,0.2,464,2,6.33937209,2.587,4.61324419,5.1,0.016428,0.34384186
Transit,0.021944444,0.31,719.2,2,10.95124051,4.40451899,4.81548101,2.4,0.014803,0.674567089
Eco Transit,0.034722222,0.29,672.8,2,8.65352,4.45872,3.83032,2.9,0.020668,0.5952384
Eco Transit,0.063888889,0.29,672.8,2,8.63090435,4.46499565,3.81781304,2.9,0.03777301,0.591229722
Transit,0.108611111,0.32,742.4,2,9.264343,2.514053,4.64437,3.2,0.076022,0.699946803
Eco Transit,0.011388889,0.35,812,2,8.820073,2.602977,4.542822,5.2,0.008722,0.765834146
Fast Transit,0.008055556,0.34,788.8,2,11.037,4.43,4.46,3.1,0.006091,0.756124138
Eco Transit,0.058888889,0.33,765.6,2,8.97188679,4.26769811,4.26926415,2.8,0.041012,0.696430189
Transit,0.003055556,0.32,742.4,2,10.957,4.427,4.813,2.8,0.002181,0.713781818
Eco Transit,0.048888889,0.3,696,2,7.41197727,2.58494318,4.25414773,5.1,0.030372,0.621245455
Transit,0.035833333,0.33,765.6,2,10.97327907,4.41962791,4.8135814,2.4,0.02557,0.713581395
Transit,0.038333333,0.35,812,2,9.31178261,2.56655797,3.90287681,4,0.029365,0.766043478
Fast Transit,0.840555556,0.3,696,2,11.1748932,2.57904578,4.37160264,4.5,0.535276,0.636812161
Transit,0.058888889,0.34,788.8,2,9.16133962,4.53707547,4.67288679,3.1,0.043233,0.734145283
Transit,5.256944444,0.35,812,2,10.03865495,4.45526262,3.67033316,4.4,3.977467,0.756611952
Transit,0.058333333,0.28,649.6,2,9.08374286,4.45255714,3.84847143,2.9,0.03342699,0.573034114
Eco Transit,0.011388889,0.35,812,2,8.877659,2.603185,4.541194,5.2,0.008687,0.762760976
Eco Transit,0.030555556,0.23,533.6,2,6.92133636,4.43933636,4.1521,5.4,0.01442201,0.471993055
Transit,0.013055556,0.28,649.6,2,9.03782979,4.443,3.862,2.9,0.007392,0.566195745
Transit,0.008333333,0.32,742.4,2,10.981,2.621,3.876,4.6,0.005791,0.69492
Fast Transit,0.026388889,0.35,812,2,11.06568421,4.612,4.64305263,3.8,0.019886,0.753574737
Eco Transit,1.085833333,0.24,556.8,2,8.27385648,4.86858276,3.99603121,2.9,0.509681,0.469391558
Fast Transit,0.005,0.35,812,2,11.46,4.371,3.816,3.1,0.004144,0.8288
Eco Transit,0.034722222,0.2,464,2,5.97664,2.629,4.0454,4.6,0.011944,0.3439872
Eco Transit,0.023055556,0.33,765.6,2,8.77385542,4.281,4.261,4.9,0.016221,0.703561446
Fast Transit,0.101388889,0.31,719.2,2,11.10078082,2.55767123,3.78932877,5.9,0.066186,0.652793425
Transit,0.010277778,0.33,765.6,2,9.06083784,2.5312973,4.272,5.5,0.007299,0.710172973
Eco Transit,0.043611111,0.36,835.2,2,8.76491083,2.564,3.85163694,4,0.03456,0.792458599
Eco Transit,0.036944444,0.27,626.4,2,8.72321805,4.42661654,4.06623308,2.8,0.020096,0.54395188
Eco Transit,0.318888889,0.23,533.6,2,4.58222125,2.59554181,4.58898606,5.3,0.13938,0.437080139
Eco Transit,0.035,0.33,765.6,2,7.39209524,4.72166667,4.08690476,4.3,0.02439299,0.696942571
Transit,1.330833333,0.36,835.2,2,10.44241286,4.67581486,3.49262471,5.1,1.113941,0.837025172
Transit,0.015,0.28,649.6,2,9.10651852,4.45,3.856,2.9,0.00855899,0.570599333
Eco Transit,0.063888889,0.33,765.6,2,8.88524348,2.52487826,4.24050435,5.5,0.045888,0.718246957
Transit,0.012222222,0.31,719.2,2,10.952,4.399,4.814,2.4,0.00829201,0.678437182
Transit,0.0725,0.34,788.8,2,9.122318,2.601164,4.54771,5.2,0.054513,0.751903448
Eco Transit,0.009722222,0.23,533.6,2,4.049,4.467,4.221,3.8,0.003924,0.403611429
Eco Transit,0.028055556,0.33,765.6,2,8.878812,2.559863,4.449586,5.1,0.019789,0.705350495
Transit,0.006111111,0.32,742.4,2,10.961,2.616,3.874,4.6,0.004246,0.6948
Transit,0.028055556,0.31,719.2,2,9.0729901,2.56436634,4.4950396,5,0.018372,0.654843564
Transit,0.007777778,0.33,765.6,2,9.051,4.266,4.267,2.8,0.005391,0.693128571
Transit,1.598888889,0.3,696,2,10.07325052,4.66981758,3.55761918,3.3,1.06061,0.663341904
Transit,1.407777778,0.27,626.4,2,9.29992581,4.71075059,3.55081058,3.3,0.805099,0.571893528
Eco Transit,0.012222222,0.19,440.8,2,3.998932,4.472643,3.394794,5.5,0.004134,0.338236364
Eco Transit,0.991666667,0.21,487.2,2,6.65634846,4.52346499,4.35489188,2.2,0.390196,0.393474958
Transit,4.734722222,0.32,742.4,2,10.39325591,4.57479812,4.13683062,4.3,3.36356701,0.710404297
Transit,0.018333333,0.33,765.6,2,11.01684848,4.416,4.83375758,2.4,0.013032,0.710836364
Eco Transit,0.0175,0.21,487.2,2,5.59560317,4.604,4.2635873,3.5,0.00596799,0.341028
Eco Transit,0.026111111,0.29,672.8,2,8.91123404,4.463,3.81530851,2.9,0.015396,0.589634043
Eco Transit,0.026944444,0.28,649.6,2,8.88403093,4.54773196,3.89956701,5.9,0.015584,0.578375258
Transit,2.063333333,0.35,812,2,9.64200404,4.5723161,4.30970948,2.5,1.55903899,0.755592402
Transit,0.003055556,0.31,719.2,2,10.965,2.633,4.058,4.6,0.001942,0.635563636
Eco Transit,0.221388889,0.19,440.8,2,4.07451694,4.59409787,3.92140276,5.9,0.070605,0.318918444
Eco Transit,0.009722222,0.35,812,2,8.90611429,4.45162857,4.157,5.4,0.007325,0.753428571
Transit,0.109722222,0.32,742.4,2,9.207,4.46246835,3.87479747,3.9,0.077123,0.702893165
Eco Transit,0.56,0.24,556.8,2,5.45590526,4.80944841,4.10926042,3.5,0.257366,0.459582143
Transit,0.1725,0.32,742.4,2,9.23709984,4.24689855,4.26084863,2.8,0.119486,0.692672464
Transit,0.786666667,0.34,788.8,2,9.63979237,4.59138559,4.98573799,3.8,0.571212,0.726116949
Eco Transit,0.1225,0.32,742.4,2,7.44056689,4.675322,4.03955556,4.4,0.080329,0.655746939
Transit,0.090833333,0.31,719.2,2,9.175294,2.594742,4.333195,4.6,0.060706,0.668322936
Transit,0.019166667,0.34,788.8,2,9.08413043,2.53,4.217,5.5,0.01374299,0.717025565
Eco Transit,0.049444444,0.28,649.6,2,7.12373034,4.655,4.80406742,2.4,0.02785999,0.563460472
Transit,0.045277778,0.33,765.6,2,9.13597546,2.55807362,4.2212638,5.5,0.032068,0.708250307
Fast Transit,0.125833333,0.32,742.4,2,11.05818102,2.617,3.8732649,4.6,0.087304,0.693806623
Transit,0.7,0.28,649.6,2,9.736196,4.719069,4.086211,3.9,0.399535,0.570764286
Transit,10.335,0.33,765.6,2,10.24573923,4.47020279,3.65591517,4.4,7.35921099,0.712066859
Transit,0.099722222,0.34,788.8,2,9.11947911,4.45977994,4.17828412,5.4,0.074095,0.743013928
Eco Transit,0.0275,0.35,812,2,8.96542424,4.83848485,4.66648485,4.1,0.02159899,0.785417818
Eco Transit,0.024444444,0.19,440.8,2,5.66909091,4.59190909,3.96390909,4.3,0.008623,0.352759091
Transit,0.0075,0.35,812,2,9.167,4.63,4.045,4.3,0.005628,0.7504
Transit,0.0825,0.29,672.8,2,9.33484848,4.53705051,3.89944444,5.9,0.048129,0.583381818
Fast Transit,0.685277778,0.33,765.6,2,11.3464698,2.57104499,4.11241508,5.1,0.495034,0.722384435
Transit,0.003055556,0.35,812,2,9.139,4.561,4.378,3,0.002487,0.813927273
Eco Transit,0.035277778,0.31,719.2,2,7.10016535,4.63597638,3.87854331,3.5,0.023428,0.664100787
Fast Transit,0.011111111,0.31,719.2,2,11.0482,2.5572,3.7838,5.9,0.007481,0.67329
Eco Transit,0.018333333,0.22,510.4,2,4.417833,4.46773,3.511305,5.5,0.007232,0.394472727
Transit,0.07,0.31,719.2,2,9.13284524,2.4740119,4.69178571,5.5,0.047199,0.674271429
Transit,0.008055556,0.28,649.6,2,9.17817241,4.464,3.823,2.9,0.00471599,0.585433241
Eco Transit,0.279444444,0.28,649.6,2,7.75488668,2.45591252,4.67221869,5.4,0.16436901,0.588199241
Eco Transit,1.282222222,0.29,672.8,2,8.67648267,4.46424957,3.8272799,2.9,0.742423,0.579012738
Eco Transit,0.563055556,0.23,533.6,2,6.44002121,4.62198323,4.14775284,5.6,0.249592,0.443281302
Eco Transit,0.0175,0.35,812,2,8.95357143,4.62228571,3.91528571,4.8,0.013502,0.771542857
Transit,1.479444444,0.37,858.4,2,9.86844874,4.66282651,4.08702347,3.5,1.23350901,0.833765009
Transit,4.831388889,0.36,835.2,2,9.70512919,4.55139171,4.39722561,5.1,3.824648,0.791624953
Transit,0.128333333,0.31,719.2,2,9.062043,2.585454,4.228848,3.4,0.084545,0.658792208
Eco Transit,0.173611111,0.2,464,2,5.1675136,4.7125936,4.0911712,4,0.059284,0.34147584
Transit,1.337777778,0.32,742.4,2,9.34429734,4.23064784,4.22891196,2.8,0.929526,0.694828405
Eco Transit,0.027777778,0.19,440.8,2,4.15376,4.6704,4.72328,3.7,0.008989,0.323604
Fast Transit,0.015,0.3,696,2,11.01388889,4.493,3.73,5.4,0.00961599,0.641066
Transit,0.004722222,0.34,788.8,2,9.134,2.536,4.503,5.5,0.003484,0.737788235
Eco Transit,0.026388889,0.36,835.2,2,8.84116842,2.566,3.84765263,4,0.020859,0.790446316
Transit,6.447222222,0.36,835.2,2,9.79221228,4.58555437,4.12916437,2.5,5.008913,0.776910246
Transit,0.018055556,0.34,788.8,2,9.14687692,2.561,4.02812308,4,0.01312399,0.726867138
Transit,0.010277778,0.36,835.2,2,9.08694595,2.566,3.843,4,0.007981,0.77652973
Transit,0.033055556,0.31,719.2,2,10.85618487,2.557,3.79141176,5.9,0.02186701,0.661522992
Eco Transit,0.071388889,0.23,533.6,2,7.09824903,4.696,4.22696887,4.2,0.032058,0.449061479
Transit,0.018611111,0.31,719.2,2,9.07959701,2.487,4.84273134,5.5,0.01266499,0.680506925
Eco Transit,0.0625,0.23,533.6,2,4.63770667,4.68621778,4.61465778,2.5,0.027279,0.436464
Fast Transit,0.063333333,0.32,742.4,2,11.03386842,2.614,3.87790789,4.6,0.043776,0.6912
Eco Transit,0.055,0.22,510.4,2,4.15585859,4.55856061,5.02273737,3.8,0.02236599,0.406654364
Fast Transit,6.926944444,0.36,835.2,2,11.54198031,4.62225661,3.55271532,5.1,5.76216,0.831847295
Transit,5.957222222,0.33,765.6,2,10.25375576,4.63883083,3.81562622,3.9,4.26967699,0.7167228
Transit,6.678055556,0.35,812,2,9.73108627,2.59679685,3.63642061,5.6,5.039734,0.754670871
Eco Transit,0.810833333,0.24,556.8,2,6.24582528,4.93214491,3.82576259,2.1,0.380257,0.468970606
Eco Transit,0.014166667,0.34,788.8,2,8.930176,2.600831,4.540542,5.2,0.010753,0.759035294
Eco Transit,0.012777778,0.2,464,2,6.00765217,2.407,4.1991087,2.4,0.004338,0.339495652
Eco Transit,0.027222222,0.22,510.4,2,4.82513265,2.408,4.22009184,2.4,0.010918,0.401069388
Fast Transit,0.053333333,0.35,812,2,11.01265104,4.41663542,4.44710417,3.1,0.040417,0.75781875
Eco Transit,0.004166667,0.36,835.2,2,8.865,4.561,4.377,3,0.003358,0.80592
Eco Transit,0.005277778,0.19,440.8,2,4.200263,4.761058,4.224549,4,0.00169,0.320210526
Transit,0.011388889,0.31,719.2,2,10.97192683,2.635,4.06,4.6,0.007318,0.642556098
Transit,0.011944444,0.34,788.8,2,9.10246512,2.561,4.03,4,0.008741,0.731804651
Eco Transit,0.010833333,0.32,742.4,2,8.882,4.226,4.235,2.8,0.007398,0.682892308
Eco Transit,0.025555556,0.34,788.8,2,8.75011957,2.55,4.24180435,5.5,0.018653,0.7299
Eco Transit,0.067222222,0.26,603.2,2,8.95667769,4.70138843,3.56017355,3.3,0.035258,0.524499174
Eco Transit,0.3025,0.23,533.6,2,6.14113682,4.57646006,4.38963269,3.1,0.13453,0.444727273
Eco Transit,0.431388889,0.25,580,2,5.11007663,4.5647244,4.62465229,5.5,0.20590099,0.477297852
Eco Transit,0.063611111,0.29,672.8,2,8.81192576,4.66452838,4.05964629,4,0.039521,0.62129083
Transit,0.046388889,0.34,788.8,2,9.25065269,4.531,4.10519162,3.6,0.034342,0.740306587
Eco Transit,0.02,0.36,835.2,2,8.81022222,4.611,4.00043056,4,0.015809,0.79045
Eco Transit,0.020555556,0.33,765.6,2,8.89745946,4.2427027,4.2472973,2.8,0.014492,0.705016216
Eco Transit,0.0075,0.29,672.8,2,8.89196296,4.466,3.814,2.9,0.004378,0.583733333
Transit,3.480833333,0.33,765.6,2,9.35882563,2.38436358,4.21013734,2.4,2.521218,0.724314484
Eco Transit,0.0175,0.32,742.4,2,8.98728571,2.471,4.67885714,5.5,0.01196299,0.683599429
Fast Transit,0.235833333,0.32,742.4,2,11.37263958,4.50907067,4.26474912,2.9,0.168033,0.71250742
Eco Transit,0.0425,0.2,464,2,6.05671895,4.52161438,4.2278366,5.5,0.014369,0.338094118
Eco Transit,0.010555556,0.36,835.2,2,8.64334211,2.566,3.86034211,4,0.008328,0.788968421
Transit,0.095,0.35,812,2,9.06362281,4.83488596,4.66328947,4.1,0.0747,0.786315789
Eco Transit,0.0225,0.41,951.2,2,7.90403704,4.399,4.03950617,5.4,0.020601,0.9156
Transit,7.493888889,0.31,719.2,2.04448069,10.63459908,4.47156431,4.24943539,2.9,5.202176,0.694189102
Eco Transit,0.088333333,0.28,649.6,2,8.90303145,4.56447799,4.15628302,5.1,0.051153,0.579090566
Transit,0.013611111,0.36,835.2,2,9.04006122,4.611,4.002,4,0.01064899,0.782374776
Transit,0.003055556,0.29,672.8,2,9.161,4.55,3.9,5.9,0.00181,0.592363636
Transit,7.483888889,0.32,742.4,2,9.37317784,2.58334187,4.2400185,4.6,5.06597404,0.676917324
Transit,0.003611111,0.33,765.6,2,9.23361538,4.534,4.104,3.6,0.002676,0.741046154
Eco Transit,0.050555556,0.35,812,2,8.91754945,4.88808791,4.70574725,4.1,0.040024,0.791683516
Transit,0.035555556,0.23,533.6,2,9.1584375,4.661,3.919,2.4,0.01545901,0.434784656
Eco Transit,0.058333333,0.32,742.4,2,8.911048,2.566499,4.24756,4.8,0.039644,0.679611429
Eco Transit,0.005833333,0.36,835.2,2,8.847,2.559,3.817,4,0.004591,0.787028571
Transit,0.013611111,0.32,742.4,2,10.98057143,4.42493878,4.81006122,2.4,0.009648,0.708832653
Transit,0.208333333,0.35,812,2,9.373665,2.608933,4.531273,5.2,0.16015,0.76872
Eco Transit,0.191111111,0.32,742.4,2,8.901036,2.567045,4.245905,4.8,0.129522,0.677731395
Transit,0.04,0.35,812,2,9.32169444,2.566,3.84059722,4,0.03080899,0.77022475
Eco Transit,0.012777778,0.29,672.8,2,8.89115217,4.5258913,3.87021739,5.9,0.007614,0.595878261
Transit,0.055555556,0.35,812,2,9.037425,4.86188,4.67909,4.1,0.04378201,0.78807618
Eco Transit,1.436111111,0.24,556.8,2,7.85261238,2.56731625,4.03578143,4.8,0.68553,0.477351644
Eco Transit,0.987222222,0.22,510.4,2,5.81132245,4.63594147,3.90424001,5,0.402628,0.40783928
Eco Transit,0.071944444,0.37,858.4,2,8.81432432,4.62712355,4.02188031,4,0.057458,0.798644015
Fast Transit,0.007777778,0.32,742.4,2,11.028,4.427,4.809,2.4,0.005512,0.708685714
Eco Transit,0.874444444,0.24,556.8,2,6.66050953,4.55279543,4.68636976,3.1,0.40982599,0.468670128
Eco Transit,0.018055556,0.19,440.8,2,4.02684615,4.594,3.92415385,5.9,0.005795,0.320953846
Eco Transit,0.110833333,0.31,719.2,2,8.82445865,4.54668922,3.71178697,3.5,0.074951,0.676249624
Eco Transit,0.003333333,0.34,788.8,2,8.823,4.532,4.107,3.6,0.002515,0.7545
Fast Transit,0.005277778,0.36,835.2,2,11.304,4.378,3.824,3.1,0.004236,0.802610526
Transit,0.081111111,0.33,765.6,2,10.9779589,4.42767808,4.81411644,2.8,0.057994,0.714994521
Eco Transit,0.036388889,0.21,487.2,2,4.80499237,4.499,4.24248092,3.2,0.013837,0.380253435
Transit,0.036111111,0.34,788.8,2,9.26254615,4.633,4.21272308,4.8,0.02850101,0.789258738
Eco Transit,0.061111111,0.27,626.4,2,6.687045,2.516278,4.584695,3.2,0.037177,0.608350909
Fast Transit,0.128611111,0.37,858.4,2,11.03733045,4.61100216,4.45706048,3.1,0.10820601,0.841342626
Transit,0.019166667,0.34,788.8,2,9.23853612,2.60098348,4.54014846,5.2,0.014382,0.750365217
Eco Transit,0.518611111,0.19,440.8,2,4.68143921,4.66128173,3.9229309,5,0.16799,0.323922871
Transit,0.1225,0.33,765.6,2,9.06764626,4.28827211,4.27997506,4.9,0.08513,0.694938776
Fast Transit,0.010555556,0.35,812,2,11.004,4.421,4.446,3.1,0.007993,0.757231579
Eco Transit,0.200555556,0.22,510.4,2,4.44246814,4.30088643,4.36439058,2.8,0.084851,0.423079778
Transit,0.194166667,0.35,812,2,9.51451073,4.7128927,4.08739056,4.3,0.146781,0.755953648
Eco Transit,0.075555556,0.27,626.4,2,7.52997059,4.51648529,4.69920588,4.4,0.041398,0.547914706
Fast Transit,0.036944444,0.31,719.2,2,11.0481203,4.44,4.7903985,2.4,0.02507799,0.678802737
Transit,0.005833333,0.29,672.8,2,9.07528571,4.469,3.827,2.9,0.003495,0.599142857
Eco Transit,0.005,0.22,510.4,2,4.34066667,4.644,3.88733333,5,0.001991,0.3982
Eco Transit,0.444722222,0.32,742.4,2,8.6342524,4.776275,4.59776764,4.5,0.303828,0.683186009
Eco Transit,0.138611111,0.26,603.2,2,6.48325651,4.65717435,4.75243086,2.4,0.070106,0.505774749
Eco Transit,0.408611111,0.19,440.8,2,4.25278314,4.70113936,4.10354113,4,0.133573,0.326895173
Eco Transit,0.278888889,0.33,765.6,2,8.79429482,2.54315936,4.22639841,5.5,0.199985,0.717077689
Eco Transit,0.017777778,0.32,742.4,2,8.99575,2.609404,4.117034,3.4,0.011957,0.67258125
Eco Transit,0.238611111,0.24,556.8,2,7.06434332,4.87243183,4.35544257,2.9,0.113254,0.474638417
Eco Transit,0.005833333,0.22,510.4,2,4.084333,4.408085,4.132713,2.5,0.002422,0.4152
Transit,0.033611111,0.31,719.2,2,10.94438017,4.43720661,4.78970248,2.4,0.022787,0.677960331
Transit,0.161944444,0.33,765.6,2,9.16098971,2.54831218,4.24094511,5.5,0.11557,0.713639794
Transit,0.041388889,0.32,742.4,2,9.08575168,4.22542953,4.23400671,2.8,0.028726,0.694051007
Fast Transit,0.0075,0.2,464,2,12.891037,2.563789,4.517205,3.2,0.002847,0.3796
Transit,0.61,0.27,626.4,2,9.20728051,4.661,3.919,2.4,0.323654,0.530580328
Eco Transit,0.007222222,0.19,440.8,2,4.122692,4.456325,3.437731,5.5,0.002414,0.334246154
Eco Transit,0.067222222,0.21,487.2,2,5.509256,4.49208,3.509131,4.4,0.025989,0.386613223
Transit,0.018611111,0.28,649.6,2,9.11614925,4.56786567,3.917,5.9,0.01068701,0.574227403
Eco Transit,0.005555556,0.31,719.2,2,8.958,2.472,4.682,5.5,0.003798,0.68364
Eco Transit,0.029166667,0.27,626.4,2,8.93452381,4.71041905,3.5201619,3.3,0.01669399,0.572365371
Transit,0.030277778,0.28,649.6,2,10.94622936,2.58769725,4.5826055,5.1,0.017728,0.585511927
Fast Transit,0.146111111,0.33,765.6,2,11.06261217,4.41454753,4.83388593,2.4,0.10423199,0.713374837
Eco Transit,0.074722222,0.35,812,2,7.707301,2.623831,4.766349,4.4,0.05776,0.772996283
Fast Transit,0.012777778,0.3,696,2,11.03763,2.581246,4.354412,4.5,0.008246,0.64533913
Eco Transit,0.240555556,0.24,556.8,2,5.84491801,4.95481409,3.78296074,3.2,0.11267201,0.46838249
Eco Transit,0.035833333,0.35,812,2,8.866496,2.608955,4.539086,5.2,0.028207,0.787172093
Eco Transit,0.038055556,0.35,812,2,8.706168,2.60055,4.553295,5.2,0.029141,0.765748905
Transit,0.018333333,0.36,835.2,2,9.04009091,4.885,4.703,4.1,0.014752,0.804654545
Transit,0.011666667,0.28,649.6,2,9.15,4.464,3.82,2.9,0.00673,0.576857143
Eco Transit,0.263888889,0.22,510.4,2,5.76245474,4.90394526,4.57270947,4.2,0.115024,0.435880421
Eco Transit,0.018888889,0.29,672.8,2,8.85417647,4.529,3.876,5.9,0.01128701,0.597547588
Transit,1.5125,0.32,742.4,2,9.59436694,2.57748632,4.42866814,4.1,1.049158,0.693658182
Transit,0.023333333,0.35,812,2,9.2462381,2.5642619,3.83302381,4,0.018058,0.773914286
Transit,0.049722222,0.35,812,2,9.26479888,2.566,3.83745251,4,0.039311,0.790612291
